date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2025-02-11,143.7704081632653,144.80102040816325,145.8316326530612,142.22448979591834,1446.0,25829219.0,1.68,-38000.0,0.0,0.0,0.0,78.4514575115887,78.4514575115887,78.4514575115887,78.4514575115887,78.4514575115887,141.42374241638987,137.2,132.9762575836101
2025-02-12,146.8622448979592,144.28571428571428,148.40816326530611,144.28571428571428,322.0,19750324.0,1.67,-3000.0,0.0,0.0,0.0,80.74802093483913,80.74802093483913,80.74802093483913,80.74802093483913,80.74802093483913,144.0918120870987,138.6,133.1081879129013
2025-02-13,144.80102040816325,147.89285714285714,147.89285714285714,143.25510204081633,329.0,19160989.0,1.64,-22000.0,0.0,0.0,0.0,75.00863744652779,75.00863744652779,75.00863744652779,75.00863744652779,75.00863744652779,144.4396356140908,139.5,134.5603643859092
2025-02-14,150.46938775510202,145.8316326530612,151.5,144.80102040816325,716.0,33457832.0,1.72,54000.0,0.0,0.0,0.0,79.35450126213672,79.35450126213672,79.35450126213672,79.35450126213672,79.35450126213672,146.4581509013496,141.7,136.94184909865038
2025-02-17,150.46938775510202,150.984693877551,152.01530612244898,148.9234693877551,560.0,24606673.0,1.73,3000.0,0.0,0.0,0.0,79.35450126213672,79.35450126213672,79.35450126213672,79.35450126213672,79.35450126213672,148.3184868736577,142.9,137.48151312634232
2025-02-18,149.43877551020407,152.53061224489795,152.53061224489795,148.40816326530611,539.0,14521962.0,1.71,-16000.0,0.0,0.0,0.0,76.54761684427777,76.54761684427777,76.54761684427777,76.54761684427777,76.54761684427777,148.3358966777361,144.0,139.6641033222639
2025-02-19,149.43877551020407,150.46938775510202,150.984693877551,149.43877551020407,252.0,13664970.0,1.77,43000.0,0.0,0.0,0.0,76.54761684427777,76.54761684427777,76.54761684427777,76.54761684427777,76.54761684427777,148.59878030638419,144.5,140.40121969361581
2025-02-20,149.43877551020407,150.46938775510202,150.984693877551,149.43877551020407,103.0,7862109.0,1.79,10000.0,0.0,0.0,0.0,76.54761684427777,76.54761684427777,76.54761684427777,76.54761684427777,76.54761684427777,146.37979589711654,145.4,144.42020410288347
2025-02-21,154.07653061224488,150.46938775510202,155.62244897959184,150.46938775510202,809.0,59187894.0,1.92,89000.0,0.0,2000.0,0.0,80.43680766232923,80.43680766232923,80.43680766232923,80.43680766232923,80.43680766232923,149.58711915483303,146.1,142.61288084516696
2025-02-24,153.04591836734693,154.07653061224488,156.6530612244898,152.53061224489795,972.0,38394450.0,1.87,-36000.0,0.0,-3000.0,0.0,77.36639464109028,77.36639464109028,77.36639464109028,77.36639464109028,77.36639464109028,150.569886648257,146.6,142.63011335174298
2025-02-25,152.53061224489795,151.5,154.07653061224488,149.43877551020407,663.0,24385968.0,1.9,23000.0,0.0,-2000.0,0.0,75.80823115115301,75.80823115115301,75.80823115115301,75.80823115115301,75.80823115115301,150.92021504754914,147.2,143.47978495245084
2025-02-26,151.5,152.53061224489795,152.53061224489795,147.37755102040816,456.0,21724301.0,1.91,15000.0,0.0,1000.0,0.0,72.65649545600543,72.65649545600543,72.65649545600543,72.65649545600543,72.65649545600543,150.65941170815577,147.6,144.54058829184422
2025-02-27,149.95408163265304,149.95408163265304,151.5,149.43877551020407,547.0,13210788.0,1.95,23000.0,0.0,0.0,0.0,68.08398865413396,68.08398865413396,68.08398865413396,68.08398865413396,68.08398865413396,150.42763633940027,147.7,144.9723636605997
2025-03-03,149.43877551020407,147.37755102040816,150.46938775510202,147.37755102040816,393.0,10101474.0,1.98,23000.0,0.0,2000.0,0.0,66.57985581525364,66.57985581525364,66.57985581525364,66.57985581525364,66.57985581525364,149.52763633939495,146.8,144.07236366060508
2025-03-04,150.984693877551,149.43877551020407,152.01530612244898,148.40816326530611,152.0,16392286.0,2.05,47000.0,0.0,-1000.0,0.0,68.8063106199656,68.8063106199656,68.8063106199656,68.8063106199656,68.8063106199656,148.5354156504023,146.4,144.2645843495977
